t,Tpot K06_20230829102709,Tpot K06_20230829102634,Tpot K06_20230829102704,Tpot K06_20230829102716,Tpot K06_20230829102654,Tpot K06_20230829102647,Tpot K06_20230903164607,Tpot K06_20230903163517
0.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0
0.01,1351.24,1351.5,1351.49,1351.0,1351.01,1351.25,1351.38,1351.14
0.02,1352.5,1353.01,1352.99,1352.01,1352.02,1352.51,1352.78,1352.29
0.03,1353.75,1354.52,1354.49,1353.02,1353.04,1353.78,1354.18,1353.44
0.04,1355.02,1356.05,1356.01,1354.03,1354.07,1355.06,1355.59,1354.6
0.05,1356.29,1357.58,1357.54,1355.05,1355.1,1356.34,1357.0,1355.76
0.06,1357.57,1359.13,1359.07,1356.08,1356.14,1357.63,1358.43,1356.93
0.07,1358.86,1360.68,1360.61,1357.11,1357.18,1358.93,1359.86,1358.11
0.08,1360.15,1362.24,1362.16,1358.14,1358.22,1360.23,1361.3,1359.29
0.09,1361.45,1363.81,1363.72,1359.18,1359.27,1361.54,1362.75,1360.48
0.1,1362.76,1365.38,1365.28,1360.23,1360.33,1362.86,1364.2,1361.68
0.11,1364.07,1366.96,1366.85,1361.27,1361.39,1364.18,1365.67,1362.88
0.12,1365.38,1368.55,1368.43,1362.33,1362.45,1365.5,1367.13,1364.08
0.13,1366.7,1370.15,1370.01,1363.38,1363.52,1366.84,1368.6,1365.29
0.14,1368.03,1371.75,1371.6,1364.44,1364.59,1368.17,1370.08,1366.5
0.15,1369.36,1373.36,1373.2,1365.51,1365.67,1369.52,1371.57,1367.72
0.16,1370.69,1374.97,1374.8,1366.58,1366.74,1370.86,1373.05,1368.94
0.17,1372.03,1376.59,1376.4,1367.65,1367.83,1372.21,1374.55,1370.17
0.18,1373.37,1378.21,1378.01,1368.72,1368.91,1373.57,1376.04,1371.4
0.19,1374.72,1379.84,1379.63,1369.8,1370.0,1374.93,1377.55,1372.63
0.2,1376.07,1381.47,1381.25,1370.88,1371.09,1376.29,1379.06,1373.87
0.21,1377.43,1383.11,1382.88,1371.96,1372.19,1377.66,1380.57,1375.11
0.22,1378.79,1384.76,1384.51,1373.04,1373.28,1379.03,1382.09,1376.35
0.23,1380.15,1386.41,1386.15,1374.13,1374.38,1380.41,1383.61,1377.6
0.24,1381.52,1388.06,1387.79,1375.22,1375.49,1381.79,1385.14,1378.85
0.25,1382.89,1389.72,1389.43,1376.31,1376.59,1383.17,1386.67,1380.1
0.26,1384.26,1391.38,1391.08,1377.41,1377.7,1384.56,1388.2,1381.36
0.27,1385.64,1393.04,1392.73,1378.5,1378.81,1385.95,1389.74,1382.62
0.28,1387.02,1394.7,1394.38,1379.6,1379.93,1387.34,1391.28,1383.89
0.29,1388.4,1396.37,1396.03,1380.71,1381.04,1388.74,1392.82,1385.15
0.3,1389.79,1398.04,1397.69,1381.81,1382.16,1390.14,1394.36,1386.42
0.31,1391.17,1399.71,1399.34,1382.92,1383.28,1391.54,1395.91,1387.69
0.32,1392.56,1401.38,1401.0,1384.03,1384.4,1392.94,1397.45,1388.97
0.33,1393.95,1403.05,1402.66,1385.14,1385.53,1394.34,1399.0,1390.24
0.34,1395.34,1404.72,1404.31,1386.25,1386.66,1395.74,1400.55,1391.52
0.35,1396.73,1406.39,1405.97,1387.36,1387.78,1397.15,1402.09,1392.8
0.36,1398.12,1408.07,1407.63,1388.48,1388.91,1398.56,1403.64,1394.07
0.37,1399.51,1409.74,1409.29,1389.59,1390.04,1399.96,1405.19,1395.35
0.38,1400.9,1411.42,1410.95,1390.71,1391.18,1401.37,1406.74,1396.63
0.39,1402.29,1413.09,1412.61,1391.83,1392.31,1402.77,1408.29,1397.91
0.4,1403.69,1414.77,1414.28,1392.95,1393.44,1404.18,1409.84,1399.19
0.41,1405.08,1416.45,1415.94,1394.06,1394.57,1405.58,1411.39,1400.47
0.42,1406.47,1418.12,1417.6,1395.18,1395.7,1406.99,1412.94,1401.75
0.43,1407.86,1419.8,1419.26,1396.3,1396.84,1408.4,1414.5,1403.03
0.44,1409.25,1421.48,1420.92,1397.41,1397.97,1409.8,1416.05,1404.31
0.45,1410.64,1423.15,1422.58,1398.53,1399.1,1411.21,1417.6,1405.58
0.46,1412.03,1424.83,1424.24,1399.65,1400.23,1412.62,1419.15,1406.86
0.47,1413.43,1426.5,1425.9,1400.76,1401.36,1414.02,1420.7,1408.14
0.48,1414.82,1428.17,1427.55,1401.88,1402.49,1415.43,1422.25,1409.42
0.49,1416.21,1429.84,1429.21,1402.99,1403.62,1416.83,1423.8,1410.7
0.5,1417.59,1431.51,1430.86,1404.1,1404.75,1418.24,1425.34,1411.97
0.51,1418.98,1433.17,1432.51,1405.21,1405.87,1419.64,1426.89,1413.25
0.52,1420.37,1434.83,1434.16,1406.32,1407.0,1421.05,1428.43,1414.52
0.53,1421.76,1436.5,1435.8,1407.43,1408.13,1422.45,1429.97,1415.8
0.54,1423.14,1438.16,1437.44,1408.54,1409.25,1423.85,1431.51,1417.07
0.55,1424.52,1439.81,1439.09,1409.65,1410.38,1425.25,1433.05,1418.35
0.56,1425.9,1441.47,1440.73,1410.76,1411.5,1426.64,1434.58,1419.62
0.57,1427.28,1443.13,1442.36,1411.86,1412.62,1428.04,1436.12,1420.89
0.58,1428.66,1444.78,1444.0,1412.97,1413.75,1429.43,1437.65,1422.16
0.59,1430.03,1446.43,1445.64,1414.07,1414.87,1430.82,1439.18,1423.42
0.6,1431.4,1448.08,1447.27,1415.18,1415.99,1432.21,1440.7,1424.69
0.61,1432.77,1449.73,1448.9,1416.28,1417.1,1433.59,1442.23,1425.95
0.62,1434.14,1451.37,1450.53,1417.38,1418.22,1434.97,1443.75,1427.21
0.63,1435.5,1453.02,1452.15,1418.48,1419.34,1436.36,1445.27,1428.47
0.64,1436.86,1454.66,1453.78,1419.57,1420.45,1437.73,1446.79,1429.73
